Title,Book,Edition,Page
"Bride’s Favourite, The",Billy Pigg's Repertoire,1,3
"Bonnie Lass of Bon Accord, The",Billy Pigg's Repertoire,1,4
"Broken Panel, The",Billy Pigg's Repertoire,1,5
"Cairdin o’t, The",Billy Pigg's Repertoire,1,5
Caller Herrin,Billy Pigg's Repertoire,1,6
Cambo March,Billy Pigg's Repertoire,1,7
Coilsfield House,Billy Pigg's Repertoire,1,8
"Cold Nights of Winter, The",Billy Pigg's Repertoire,1,8
"Coolin, The",Billy Pigg's Repertoire,1,9
Dargai,Billy Pigg's Repertoire,1,10
Father Kelly’s,Billy Pigg's Repertoire,1,12
Father o Flynn,Billy Pigg's Repertoire,1,12
"King’s Favourite, The",Billy Pigg's Repertoire,1,12
"Golden Eagle, The",Billy Pigg's Repertoire,1,13
"Hawk, The",Billy Pigg's Repertoire,1,13
Highland Laddie,Billy Pigg's Repertoire,1,14
Hold the Fort,Billy Pigg's Repertoire,1,15
"High Level set, The",Billy Pigg's Repertoire,1,16
"John Anderson, my Jo",Billy Pigg's Repertoire,1,17
J.B. Milne,Billy Pigg's Repertoire,1,18
Kemnay House set,Billy Pigg's Repertoire,1,18
Kinclaven Brig,Billy Pigg's Repertoire,1,18
Mrs E. N. Monair of Bruach,Billy Pigg's Repertoire,1,18
"Iron Man, The",Billy Pigg's Repertoire,1,20
"Lark in the Clear Air, The",Billy Pigg's Repertoire,1,20
"Jenny Bell Polka, The",Billy Pigg's Repertoire,1,21
"King of the Pipers, The",Billy Pigg's Repertoire,1,21
John McFadyen of Melfort,Billy Pigg's Repertoire,1,22
King Robert the Bruce,Billy Pigg's Repertoire,1,23
"Last of the Twins, The",Billy Pigg's Repertoire,1,24
"Lea Rigg, The",Billy Pigg's Repertoire,1,24
"Londonderry hornpipe, The",Billy Pigg's Repertoire,1,25
Madam Bonaparte,Billy Pigg's Repertoire,1,26
"Marquis of Waterford, The",Billy Pigg's Repertoire,1,28
Mr Michie,Billy Pigg's Repertoire,1,29
Maggie Lauder,Billy Pigg's Repertoire,1,30
Mallorca,Billy Pigg's Repertoire,1,31
Mrs Elder’s Welcome,Billy Pigg's Repertoire,1,32
"Pipers Weird, The",Billy Pigg's Repertoire,1,32
Monymusk,Billy Pigg's Repertoire,1,33
Niel Gow’s Lament for J. Moray of Abercairney,Billy Pigg's Repertoire,1,33
Morpeth Rant,Billy Pigg's Repertoire,1,34
"Poppy Leaf, The",Billy Pigg's Repertoire,1,34
O’ Driscolls Favourite,Billy Pigg's Repertoire,1,35
"Old Church Hornpipe, The",Billy Pigg's Repertoire,1,35
Pulling Hard against the stream,Billy Pigg's Repertoire,1,36
Rosewood,Billy Pigg's Repertoire,1,36
Storrers Hornpipe,Billy Pigg's Repertoire,1,36
Roselea,Billy Pigg's Repertoire,1,37
Skye Crofters,Billy Pigg's Repertoire,1,38
Sliabh na m’ban,Billy Pigg's Repertoire,1,39
"Sunshine hornpipe, The",Billy Pigg's Repertoire,1,40
"Swallows Tail, The",Billy Pigg's Repertoire,1,40
"Wind that shakes the barley, The",Billy Pigg's Repertoire,1,40
Wild Hills of Wannie,Billy Pigg's Repertoire,1,41
Archie's Fancy,Border Minstrel,1,23
Border Spirit,Border Minstrel,1,24
Gypsy's Lullaby,Border Minstrel,1,24
Bonnie Woodside,Border Minstrel,1,25
Keening in the Wind,Border Minstrel,1,25
Wallington Hall,Border Minstrel,1,26
Tom's March,Border Minstrel,1,27
Tosson March,Border Minstrel,1,27
Bill Charlton't Fancy,Border Minstrel,1,29
J. R. Pigg,Border Minstrel,1,30
Old Drove Road (The),Border Minstrel,1,31
Northumbrian Gathering,Border Minstrel,1,32
Coffee Bridge,Border Minstrel,1,33
Kielder Fells,Border Minstrel,1,34
Rookland Lasses or Billy's Jig,Border Minstrel,1,34
Alyth Burn Archie of Harehaugh,Border Minstrel,1,35
Carrick Hornpipe,Border Minstrel,1,36
Carrick Reel,Border Minstrel,1,37
John of Carrick,Border Minstrel,1,37
Anne's Wedding,Border Minstrel,1,38
Mary Armstrong,Border Minstrel,1,38
Raylees,Border Minstrel,1,39
Billy Pigg's,Border Minstrel,1,40
Tora's Hornpipe,Border Minstrel,1,40
Foxhunter's Hornpipe (The),Border Minstrel,1,41
Woodhall Hornpipe,Border Minstrel,1,41
Biddlestone Hornpipe,Border Minstrel,1,42
Cote Walls or Coates Hall,Border Minstrel,1,43
Jane of Bibblestone,Border Minstrel,1,43
Anne of Hindhope,Border Minstrel,1,44
Hepple Haugh or King's Hall,Border Minstrel,1,44
Billsmoor,Border Minstrel,1,45
Little Jenny,Border Minstrel,1,46
Dr Browne,Border Minstrel,1,47
Tom of Bellingham,Border Minstrel,1,47
Unknown No 1,Border Minstrel,1,48
Unknown No 2,Border Minstrel,1,48
Unknown No 3,Border Minstrel,1,49
Unknown No 4,Border Minstrel,1,49
Pulling Hard Against the Stream,Border Minstrel,1,50
Roselea,Border Minstrel,1,51
Wild Hills of Wannie,Border Minstrel,1,53
Blow the Wind Southerly,Border Minstrel,1,54
Madame Bonaparte,Border Minstrel,1,55
New High Level,Border Minstrel,1,56
Mr Michie,Border Minstrel,1,57
Robert the Bruce,Border Minstrel,1,58
Dargai,Border Minstrel,1,59
Boring with the Gimlet,Charlton MTB,1,1
Park,Charlton MTB,1,1
Whistle o'er the Lave o't,Charlton MTB,1,1
Beeswing,Charlton MTB,1,2
Horsley Lasses,Charlton MTB,1,2
Nunwick Mill,Charlton MTB,1,2
Hall's Right Pump,Charlton MTB,1,3
Shane's Fancy,Charlton MTB,1,3
Banks of the Dee,Charlton MTB,1,4
Bellingham Boat,Charlton MTB,1,4
By Summers,Charlton MTB,1,5
I have a Wife of my aine,Charlton MTB,1,5
Kiss the Lass you like Best,Charlton MTB,1,5
Long Long Ago,Charlton MTB,1,6
New Drops of Brandy,Charlton MTB,1,6
Braw Lads of Jedburgh (The),Charlton MTB,1,7
Up the Town,Charlton MTB,1,7
Chips and Shavens,Charlton MTB,1,8
Jack's Alive,Charlton MTB,1,8
Carinsyke Lodge,Charlton MTB,1,9
Mr Sharp's Quadrille,Charlton MTB,1,9
Buff and Blue,Charlton MTB,1,10
Lady of the Lake,Charlton MTB,1,10
Ruffian's Rant,Charlton MTB,1,10
Duchess' Slippers,Charlton MTB,1,11
Weymouth Quickstep,Charlton MTB,1,11
Favourite Tune (A),Charlton MTB,1,12
Girl I left behind me (The),Charlton MTB,1,12
Barngann Gill,Charlton MTB,1,13
Newcastle Station,Charlton MTB,1,13
Hurrah for the Bonnets of Blue,Charlton MTB,1,14
Oyster Girl,Charlton MTB,1,14
Old Wife behind the Haystack,Charlton MTB,1,15
Queen of Sluts,Charlton MTB,1,15
Willie is a Bonny Lad,Charlton MTB,1,15
Erin Go Bragh,Charlton MTB,1,16
Jessie the Flower of Dunblane,Charlton MTB,1,16
Andrew Carey,Charlton MTB,1,17
Flying Coach (The),Charlton MTB,1,17
Over the Water to Charlie,Charlton MTB,1,18
Jocky lay in the Hay Loft,Charlton MTB,1,19
Lass of Dundee,Charlton MTB,1,19
Black Jack,Charlton MTB,1,20
Dear Tobacco,Charlton MTB,1,20
Fox and the Grapes (The),Charlton MTB,1,20
Clean Pea Straw,Charlton MTB,1,21
Jackie's Friends is never pleased,Charlton MTB,1,21
Corn Riggs,Charlton MTB,1,22
Keel Row (The),Charlton MTB,1,24
Cuddie Clauder,Charlton MTB,1,26
This is no my ain Lassie,Charlton MTB,1,28
Coket Side,Charlton MTB,1,30
Miss Maydell Armstrong,Charlton MTB,1,30
Wylam Away,Charlton MTB,1,30
My Wife's a Wanton We Thing,Charlton MTB,1,32
Howlet and the Weazle,Charlton MTB,1,33
Jigg,Charlton MTB,1,33
Captain Mulligan,Charlton MTB,1,34
Speed the Plough,Charlton MTB,1,34
Catterthun,Charlton MTB,1,35
Miss Murray's Reel,Charlton MTB,1,35
Lady Harriet Hope's Reel,Charlton MTB,1,36
Miss Johnson's Reel,Charlton MTB,1,36
Captain Ross,Charlton MTB,1,37
Lord Lyncock,Charlton MTB,1,37
Highlands Of Banffshire,Charlton MTB,1,38
Miss Jane Johnstone,Charlton MTB,1,38
Hornpipe,Charlton MTB,1,39
Hornpipe (A),Charlton MTB,1,39
Hornpipe (A),Charlton MTB,1,40
Remember Me Hornpipe,Charlton MTB,1,40
Little Henie,Charlton MTB,1,41
Mrs Dickinson's Hornpipe,Charlton MTB,1,41
Hornpipe,Charlton MTB,1,42
Sheffield Hornpipe (The),Charlton MTB,1,42
Liddell's Hornpipe,Charlton MTB,1,43
Miss Thompson's Hornpipe,Charlton MTB,1,43
Hornpipe (A),Charlton MTB,1,44
Stockton Hornpipe,Charlton MTB,1,44
Bristol Hornpipe,Charlton MTB,1,45
Hornpipe (A),Charlton MTB,1,45
Exhibition Hornpipe,Charlton MTB,1,46
Shipley's Hornpipe,Charlton MTB,1,46
Millicent's Favourite,Charlton MTB,1,47
Glendale Hornpipe (The),Charlton MTB,1,48
Whittingham Vale Hornpipe,Charlton MTB,1,48
Coquetdale Hornpipe,Charlton MTB,1,49
Tyndale Honpipe (The),Charlton MTB,1,49
Morpeth Rant,Charlton MTB,1,50
Rowley Burn,Charlton MTB,1,50
Believe me,Charlton MTB,1,51
Wrap up Rowl up,Charlton MTB,1,51
Blue Bells of Scotland,Charlton MTB,1,52
Buttered Peas,Charlton MTB,1,53
Derwentwater's Farewell,Charlton MTB,1,53
Deil's in the Fish,Charlton MTB,1,54
Mille o' Dron (The),Charlton MTB,1,55
Town Green Polka,Charlton MTB,1,55
Broken Panel (The),Charlton MTB,1,56
Old Wife on the Hay Mow (The),Charlton MTB,1,56
Back of the Grampian Hills,Charlton MTB,1,57
Mile (The),Charlton MTB,1,57
Quay Side (The),Charlton MTB,1,58
Silver Street Lasses,Charlton MTB,1,58
Marquis of Huntly's Reel,Charlton MTB,1,59
Miss Ward's Reel,Charlton MTB,1,59
Squire of Bentham,Charlton MTB,1,59
Hareshawhead Strathspey,Charlton MTB,1,60
Heather Bell Hornpipe,Charlton MTB,1,60
James Davey's Hornpipe,Charlton MTB,1,61
When the Tide comes in,Charlton MTB,1,61
Lea Riggs (The),Charlton MTB,1,62
Kepano Quickstep,Continuing the Tradition,1,1
Thanks to Cocks & Bryan,Continuing the Tradition,1,1
"Pipers Elbow, The",Continuing the Tradition,1,2
Trows Burn,Continuing the Tradition,1,2
Dog Leap Stairs,Continuing the Tradition,1,3
Road to the North,Continuing the Tradition,1,3
"Road to the North, The",Continuing the Tradition,1,3
Cheviot Lament,Continuing the Tradition,1,4
"Winter Wren, The",Continuing the Tradition,1,4
Alwinton Fair,Continuing the Tradition,1,5
"Ride around the Mountain, The",Continuing the Tradition,1,5
Harwood Forest,Continuing the Tradition,1,6
Silver Lonnen,Continuing the Tradition,1,6
Corbett’s Favour,Continuing the Tradition,1,7
Pretty Pearl,Continuing the Tradition,1,7
Ellery & Adeline’s Jig,Continuing the Tradition,1,8
New Venture Polka,Continuing the Tradition,1,8
"New Venture Polka, The",Continuing the Tradition,1,8
Terry Lynn’s Jig,Continuing the Tradition,1,8
High Hobberlaw,Continuing the Tradition,1,9
"Huntsman’s Measure, The",Continuing the Tradition,1,9
Bless the Bairns,Continuing the Tradition,1,10
Drystone Walls,Continuing the Tradition,1,10
Bonny Bronwen,Continuing the Tradition,1,11
"Curlew’s Return, The",Continuing the Tradition,1,11
"Armchair Paddler, The",Continuing the Tradition,1,12
"Chiswick Fishing Fleet, The",Continuing the Tradition,1,12
Mr & Mrs Alistair Archbold,Continuing the Tradition,1,13
"Piper on the Hill by the Fire, The",Continuing the Tradition,1,13
"Gray, Selside etc. Agricultural Show",Continuing the Tradition,1,14
Miss Bamber’s Benefit,Continuing the Tradition,1,14
Fred Picknell’s March,Continuing the Tradition,1,15
Makendon,Continuing the Tradition,1,15
"Regular Climber, The",Continuing the Tradition,1,15
"Freedom Pass, The",Continuing the Tradition,1,16
"Gypsies Reel, The",Continuing the Tradition,1,16
Ballard’s Blizzard,Continuing the Tradition,1,17
Gisela’s Rant,Continuing the Tradition,1,17
Footprints on the Sands of Time,Continuing the Tradition,1,18
"Grande Ronde autour de Mont Blanc, La",Continuing the Tradition,1,18
"Piping Parson, The",Continuing the Tradition,1,19
"Tipsy Reindeer, The",Continuing the Tradition,1,19
Tumbling Hoglets,Continuing the Tradition,1,19
"Hen Hole, The",Continuing the Tradition,1,20
Snow on the Ben,Continuing the Tradition,1,20
"Crack at the Barbers in Rothbury, The",Continuing the Tradition,1,21
Nan’s Last Trip,Continuing the Tradition,1,21
Blagdonburn,Continuing the Tradition,1,22
Tarset,Continuing the Tradition,1,22
"Cowgate Quiz, The",Continuing the Tradition,1,23
"Gentleman, The",Continuing the Tradition,1,23
Walking the Wall,Continuing the Tradition,1,23
Louise’s Giggle,Continuing the Tradition,1,24
Steve Barwick’s Canary,Continuing the Tradition,1,24
Gentleman Jim,Continuing the Tradition,1,25
"Yorkshire Moores, The",Continuing the Tradition,1,25
"Double Drum, The",Continuing the Tradition,1,26
Pipe Jig,Continuing the Tradition,1,26
Ken Tait,Continuing the Tradition,1,27
Patrick James’s Jig,Continuing the Tradition,1,27
"Ridge Lea , The",Continuing the Tradition,1,27
Forster Charlton & His Cat,Continuing the Tradition,1,28
"Waikato Valley, The",Continuing the Tradition,1,28
"May Blossom Polka, The",Continuing the Tradition,1,29
Waltz for Robert and Agnes,Continuing the Tradition,1,29
"Fourstones Square, The",Continuing the Tradition,1,30
Hazel Fox’s,Continuing the Tradition,1,30
Salisbury Presidents Day,Continuing the Tradition,1,30
Budle Bay,Continuing the Tradition,1,31
"Co­operation Jig, The",Continuing the Tradition,1,32
"Jackdaw, The",Continuing the Tradition,1,32
"Territorial Blackbirds, The",Continuing the Tradition,1,32
"Auld Ashy Pad, The",Continuing the Tradition,1,33
Micheil Óg,Continuing the Tradition,1,33
Keelman Brown of Newburn,Continuing the Tradition,1,34
"Low Lights of Shields, The",Continuing the Tradition,1,34
Chris Ormston’s Fancy,Continuing the Tradition,1,35
"Goodwife of Morpeth, The",Continuing the Tradition,1,35
"Belford Hoist, The",Continuing the Tradition,1,36
Blakemere House,Continuing the Tradition,1,36
Wineskin,Continuing the Tradition,1,36
Poppy Fields Polka,Continuing the Tradition,1,37
"Scurrying Piper, The",Continuing the Tradition,1,37
"Christmas Ceilidh, The",Continuing the Tradition,1,38
Gillian’s Jig,Continuing the Tradition,1,38
John Liestman’s 6 inch No. 2,Continuing the Tradition,1,39
Megan Lawther,Continuing the Tradition,1,39
Czech Afternoon in Armagh,Continuing the Tradition,1,40
Cloggies Jig,Continuing the Tradition,1,41
"Hatcliffe Hornpipe, The",Continuing the Tradition,1,41
Chapel Lane,Continuing the Tradition,1,42
"Wannie JIg , The",Continuing the Tradition,1,42
Welcome to Blankenheim,Continuing the Tradition,1,42
Tarantel and Snakes,Continuing the Tradition,1,43
"Illuminations Hornpipe, The",Continuing the Tradition,1,44
Hartburn Glebe,Continuing the Tradition,1,45
Richard Butler’s Hornpipe,Continuing the Tradition,1,45
"Boar’s Head, The",Continuing the Tradition,1,46
Greta Mill,Continuing the Tradition,1,46
"Waikato Hornpipe, The",Continuing the Tradition,1,47
"Wreighburn, The",Continuing the Tradition,1,47
Cherryburn,Continuing the Tradition,1,48
Lasses of Alnwick,Continuing the Tradition,1,48
"Bailiffgate Rant, The",Continuing the Tradition,1,49
Jane Northumberland’s Fancy,Continuing the Tradition,1,49
Isobel’s Waltz,Continuing the Tradition,1,50
Master Ben Ord’s Strathspey,Continuing the Tradition,1,50
Einar Hansander’s,Continuing the Tradition,1,51
Late September,Continuing the Tradition,1,51
Linger on Kinder,Continuing the Tradition,1,52
Babbling Anna’s Reel,Continuing the Tradition,1,53
Westgate Lodge,Continuing the Tradition,1,53
October Girl,Continuing the Tradition,1,54
Wolffish,Continuing the Tradition,1,54
"Champion Fiddler, The",Continuing the Tradition,1,55
Geordie’s Big Five­oh,Continuing the Tradition,1,55
Andy’s Slip Jig,Continuing the Tradition,1,56
Our Kate,Continuing the Tradition,1,56
"60th Birthday, The",Continuing the Tradition,1,57
Ladywell House,Continuing the Tradition,1,57
Claire Hudspith’s Jig,Continuing the Tradition,1,58
Farewell to Joe,Continuing the Tradition,1,58
Jumping Puddles,Continuing the Tradition,1,58
"Summerhill Hornpipe, The",Continuing the Tradition,1,59
Charlton’s Lament,Continuing the Tradition,1,60
"Great North Run ’86, The",Continuing the Tradition,1,60
Ian Dickson,Duet,1,2
Parnell's March,Duet,1,3
Glen Aln Hornpipe,Duet,1,4
Keelman over the Land,Duet,1,5
Old Lancashire Hornpipe,Duet,1,6
Bonny Woodside,Duet,1,7
Breamish (The),Duet,1,8
Go to Berwick Johnny,Duet,1,8
Gypsies' Lullaby,Duet,1,9
Sir Sidney Smith's March,Duet,1,10
Mrs Jamieson's Favourite,Duet,1,11
Cradle Song,Duet,1,12
Rowan Tree,Duet,1,12
Herd on the Hill,Duet,1,13
Mrs Mona Cameron,Duet,1,14
Wilson's Fish,Duet,1,14
Wedding Shoes,Duet,1,15
Heroes of Glencoe,Duet,1,16
Miss Thompson's Hornpipe,Duet,1,16
Heidenröslein,Duet,1,17
Rose among the Heather,Duet,1,17
Champion Hornpipe,Duet,1,18
Starry Night in Shetland,Duet,1,18
Wyndburgh Jig,Duet,1,19
Play Piper Play,Duet,1,20
Zadudej Dudácku Zadudej,Duet,1,20
Bonny at Morn,Duet,1,21
Polka,Duet,1,22
Coquetdale Waltz,Duet,1,23
Mill Mill O (The),Duet,1,24
Swindon,Duet,1,24
Blowzabella,Duet,1,25
South Shields Lasses,Duet,1,26
Piper in the Well,Duet,1,27
Old Drove Road,Duet,1,28
Piper's Wedding (The),Duet,1,28
Czech Bagpipe Trio,Duet,1,29
Little Farm Well Tilled (A),Duet,1,30
Londonderry Air,Duet,1,30
City of Savannah,Duet,1,31
Sweet Hesleyside,Duet,1,32
Golden Wedding,Duet,1,33
Sting in the Tail,Duet,1,34
Trip to Solingen (The),Duet,1,35
Last of the Twins,Folio 2005,1,1
Little Burnt Potato Burnt Tattie (The),Folio 2005,1,1
Bielbie's Hornpipe,Folio 2005,1,2
Wade Hampton's Hornpipe,Folio 2005,1,2
Hepple Haugh King's Hall,Folio 2005,1,3
Keening in the Wind Back to the Hills,Folio 2005,1,3
King's Hall Hepple Haugh,Folio 2005,1,3
Sandgate,Folio 2005,1,4
St Cuthbert's Day,Folio 2005,1,4
Anniversary Jig,Folio 2005,1,5
Mrs Jean Taylor,Folio 2005,1,5
Tom Hackett's Dream,Folio 2005,1,5
Cheviot Rant,Folio 2005,1,6
Jock Wilson of Fenton,Folio 2005,1,6
Harvest Home,Folio 2005,1,7
Miss Jenny Clough,Folio 2005,1,7
Rose Tree (The),Folio 2005,1,7
Duke of Fife's Welcome to Deeside,Folio 2005,1,8
Herr Roloff's Farewell,Folio 2005,1,8
Miss Forbe's Farewell to Banff,Folio 2005,1,8
President Garfield's Hornpipe,Folio 2005,1,9
Washington Hornpipe,Folio 2005,1,9
Gordon's Favourite,Folio 2005,1,10
If you will not have me you may let me go,Folio 2005,1,10
Lasses Pass the Brandy,Folio 2005,1,10
John the Red Nose,Folio 2005,1,11
Morpeth Lasses,Folio 2005,1,11
XYZ,Folio 2005,1,11
Charlie's Garden,Folio 2005,1,12
Colburn Lane,Folio 2005,1,12
Hindley Steel,Folio 2005,1,13
Tom Dagg's Tune,Folio 2005,1,13
Gentle Maiden,Folio 2005,1,14
Rose Wood,Folio 2005,1,14
Roslyn Castle,Folio 2005,1,14
Bracken Rigg,Folio 2005,1,15
Off to California,Folio 2005,1,15
Steamboat (The),Folio 2005,1,15
In Dispraise o' Dunbar,Folio 2005,1,16
Jimmy Allen,Folio 2005,1,16
Bagpiper's Carol (The),Folio 2005,1,17
Oyster Wife's Rant,Folio 2005,1,17
Lovat Scouts,Folio 2005,1,18
Celebrated Trumpet Tune (The),Folio 2005,1,19
Wild Rose of the Mountain,Folio 2005,1,20
Blind Mary,Folio 2007,1,1
Cairdin' O't (The),Folio 2007,1,1
Chester Castle,Folio 2007,1,1
Babes in the Wood,Folio 2007,1,2
Carolan's Conceerto,Folio 2007,1,2
Coilsfield House,Folio 2007,1,3
Colgrave Sound,Folio 2007,1,3
Orange and Blue,Folio 2007,1,3
Caller Herrin,Folio 2007,1,4
Cronin's Hornpipe,Folio 2007,1,4
Delight of the men of Caernarvon,Folio 2007,1,5
Donald Blue,Folio 2007,1,5
Down the burn Davie Lad,Folio 2007,1,5
Flett from Flotta,Folio 2007,1,6
Garster's Dream,Folio 2007,1,6
O'er the Hills and Far Away,Folio 2007,1,6
Dunphy's Hornpipe,Folio 2007,1,7
Father Kelly's Jig,Folio 2007,1,7
Chester,Folio 2007,1,8
Farewell to Whisky,Folio 2007,1,8
Gairsay,Folio 2007,1,8
Castell Caernrfon,Folio 2007,1,9
Left Handed Fiddler,Folio 2007,1,9
Little Stack of Barley (The),Folio 2007,1,9
King o' The Pipers,Folio 2007,1,10
Lemonville Jig,Folio 2007,1,10
Llwyn on,Folio 2007,1,11
Logie of Buchan,Folio 2007,1,11
Malldraeth The Soft Sea-Shore,Folio 2007,1,11
Flowers of Edinburgh (The),Folio 2007,1,12
General Monck's March,Folio 2007,1,12
Mad Moll of the Cheshire Hunt,Folio 2007,1,12
Mrs John Elder's Welcome,Folio 2007,1,13
Piper's Weird,Folio 2007,1,13
Mount Your Baggage,Folio 2007,1,14
Ned of the Hill Eamonn an Chnoic,Folio 2007,1,14
Wild Goose Chase (The),Folio 2007,1,14
Skye Crofters,Folio 2007,1,15
Song of Home (The),Folio 2007,1,15
Gilsland Hornpipe with Variations,Folio 2007,1,16
St Lawrence Jig,Folio 2007,1,16
Whiddon's Hornpipe,Folio 2007,1,17
Scots Hornpipe (A),Folio 2007,1,18
Speed the Plough,Folio 2007,1,18
Suo-Gan,Folio 2007,1,18
